DexNumber,Name,Category,Ability1,Ability2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,NoGender,CatchRate,EggCycles,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,Type_Bug,Type_Dark,Type_Dragon,Type_Electric,Type_Fairy,Type_Fighting,Type_Fire,Type_Flying,Type_Ghost,Type_Grass,Type_Ground,Type_Ice,Type_Normal,Type_Poison,Type_Psychic,Type_Rock,Type_Steel,Type_Water,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy,Egg_Amorphous,Egg_Bug,Egg_Ditto,Egg_Dragon,Egg_Fairy,Egg_Field,Egg_Flying,Egg_Grass,Egg_Human-Like,Egg_Mineral,Egg_Monster,Egg_No Eggs Discovered,Egg_Water 1,Egg_Water 2,Egg_Water 3
134,Vaporeon,Bubble Jet Pokémon,Water Absorb,None,Hydration,1,130,65,60,110,95,65,525,29.0,1.0,0.875,0,45,35,1000000,70,0,0,0,0,2,2,Eevee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
135,Jolteon,Lightning Pokémon,Volt Absorb,None,Quick Feet,1,65,65,60,110,95,130,525,24.5,0.8,0.875,0,45,35,1000000,70,0,0,0,0,2,2,Eevee,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
136,Flareon,Flame Pokémon,Flash Fire,None,Guts,1,65,130,60,95,110,65,525,25.0,0.9,0.875,0,45,35,1000000,70,0,0,0,0,2,2,Eevee,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
137,Porygon,Virtual Pokémon,Trace,Download,Analytic,1,65,60,70,85,75,40,395,36.5,0.8,0.5,1,45,20,1000000,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0
138,Omanyte,Spiral Pokémon,Swift Swim,Shell Armor,Weak Armor,1,35,40,100,90,55,35,355,7.5,0.4,0.875,0,45,30,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1
139,Omastar,Spiral Pokémon,Swift Swim,Shell Armor,Weak Armor,1,70,60,125,115,70,55,495,35.0,1.0,0.875,0,45,30,1000000,70,0,0,0,0,2,2,Omanyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1
140,Kabuto,Shellfish Pokémon,Swift Swim,Battle Armor,Weak Armor,1,30,80,90,55,45,55,355,11.5,0.5,0.875,0,45,30,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1
141,Kabutops,Shellfish Pokémon,Swift Swim,Battle Armor,Weak Armor,1,60,115,105,65,70,80,495,40.5,1.3,0.875,0,45,30,1000000,70,0,0,0,0,2,2,Kabuto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,1.0,4.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1
142,Aerodactyl,Fossil Pokémon,Rock Head,Pressure,Unnerve,1,80,105,65,60,75,130,515,59.0,1.8,0.875,0,45,35,1250000,70,0,0,0,1,1,1,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,1.0,0.5,0.5,0.0,2.0,0.5,1.0,2.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,0,0
143,Snorlax,Sleeping Pokémon,Immunity,Thick Fat,Gluttony,1,160,110,65,65,110,30,540,460.0,2.1,0.875,0,25,40,1250000,70,0,0,0,0,2,2,Munchlax,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,0,0
144,Articuno,Freeze Pokémon,Pressure,None,Snow Cloak,1,90,85,100,95,125,85,580,55.4,1.7,0.5,1,3,80,1250000,35,1,0,0,0,1,1,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,4.0,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
144,Galarian Articuno,Freeze Pokémon,Competitive,None,None,8,90,85,85,125,100,95,580,55.4,1.7,0.5,1,3,80,1250000,35,1,0,0,0,1,1,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
145,Zapdos,Electric Pokémon,Pressure,None,Static,1,90,90,85,125,90,100,580,52.6,1.6,0.5,1,3,80,1250000,35,1,0,0,0,1,1,No Preevolution,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
145,Galarian Zapdos,Electric Pokémon,Defiant,None,None,8,90,125,90,85,90,100,580,52.6,1.6,0.5,1,3,80,1250000,35,1,0,0,0,1,1,No Preevolution,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.5,2.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,0.5,2.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
146,Moltres,Flame Pokémon,Pressure,None,Flame Body,1,90,100,90,125,85,90,580,60.0,2.0,0.5,1,3,80,1250000,35,1,0,0,0,1,1,No Preevolution,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
146,Galarian Moltres,Flame Pokémon,Berserk,None,None,8,90,85,90,100,125,90,580,60.0,2.0,0.5,1,3,80,1250000,35,1,0,0,0,1,1,No Preevolution,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,0.0,2.0,1.0,0.5,2.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
147,Dratini,Dragon Pokémon,Shed Skin,None,Marvel Scale,1,41,64,45,50,50,50,300,3.3,1.8,0.5,0,45,40,1250000,35,0,0,0,0,1,3,No Preevolution,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,2.0,2.0,1.0,2.0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
148,Dragonair,Dragon Pokémon,Shed Skin,None,Marvel Scale,1,61,84,65,70,70,70,420,16.5,4.0,0.5,0,45,40,1250000,35,0,0,0,0,2,3,Dratini,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,2.0,2.0,1.0,2.0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
149,Dragonite,Dragon Pokémon,Inner Focus,None,Multiscale,1,91,134,95,100,100,80,600,210.0,2.2,0.5,0,45,40,1250000,35,0,0,0,0,3,3,Dragonair,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,1.0,0.5,0.5,0.25,1.0,1.0,4.0,2.0,1.0,2.0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
150,Mewtwo,Genetic Pokémon,Pressure,None,Unnerve,1,106,110,90,154,90,130,680,122.0,2.0,0.5,1,3,120,1250000,0,1,0,0,1,1,1,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
151,Mew,New Species Pokémon,Synchronize,None,None,1,100,100,100,100,100,100,600,4.0,0.4,0.5,1,45,120,1059860,100,0,1,0,0,1,1,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
152,Chikorita,Leaf Pokémon,Overgrow,None,Leaf Guard,2,45,49,65,49,65,45,318,6.4,0.9,0.875,0,45,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0
153,Bayleef,Leaf Pokémon,Overgrow,None,Leaf Guard,2,60,62,80,63,80,60,405,15.8,1.2,0.875,0,45,20,1059860,70,0,0,0,0,2,3,Chikorita,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0
154,Meganium,Herb Pokémon,Overgrow,None,Leaf Guard,2,80,82,100,83,100,80,525,100.5,1.8,0.875,0,45,20,1059860,70,0,0,0,0,3,3,Bayleef,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,1,0,0,1,0,0,0,0
155,Cyndaquil,Fire Mouse Pokémon,Blaze,None,Flash Fire,2,39,52,43,60,50,65,309,7.9,0.5,0.875,0,45,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
156,Quilava,Volcano Pokémon,Blaze,None,Flash Fire,2,58,64,58,80,65,80,405,19.0,0.9,0.875,0,45,20,1059860,70,0,0,0,0,2,3,Cyndaquil,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
157,Typhlosion,Volcano Pokémon,Blaze,None,Flash Fire,2,78,84,78,109,85,100,534,79.5,1.7,0.875,0,45,20,1059860,70,0,0,0,0,3,3,Quilava,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
157,Hisuian Typhlosion,Volcano Pokémon,Blaze,None,Frisk,8,73,84,78,119,85,95,534,79.5,1.7,0.875,0,45,20,1059860,70,0,0,0,0,3,3,Quilava,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,2.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,2.0,0.5,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
158,Totodile,Big Jaw Pokémon,Torrent,None,Sheer Force,2,50,65,64,44,48,43,314,9.5,0.6,0.875,0,45,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
159,Croconaw,Big Jaw Pokémon,Torrent,None,Sheer Force,2,65,80,80,59,63,58,405,25.0,1.1,0.875,0,45,20,1059860,70,0,0,0,0,2,3,Totodile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
160,Feraligatr,Big Jaw Pokémon,Torrent,None,Sheer Force,2,85,105,100,79,83,78,530,88.8,2.3,0.875,0,45,20,1059860,70,0,0,0,0,3,3,Croconaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
161,Sentret,Scout Pokémon,Run Away,Keen Eye,Frisk,2,35,46,34,35,45,20,215,6.0,0.8,0.5,0,255,15,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
162,Furret,Long Body Pokémon,Run Away,Keen Eye,Frisk,2,85,76,64,45,55,90,415,32.5,1.8,0.5,0,90,15,1000000,70,0,0,0,0,2,2,Sentret,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0
163,Hoothoot,Owl Pokémon,Insomnia,Keen Eye,Tinted Lens,2,60,30,30,36,56,50,262,21.2,0.7,0.5,0,255,15,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
164,Noctowl,Owl Pokémon,Insomnia,Keen Eye,Tinted Lens,2,100,50,50,86,96,70,452,40.8,1.6,0.5,0,90,15,1000000,70,0,0,0,0,2,2,Hoothoot,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
165,Ledyba,Five Star Pokémon,Swarm,Early Bird,Rattled,2,40,20,30,40,80,55,265,10.8,1.0,0.5,0,255,15,800000,70,0,0,0,0,1,2,No Preevolution,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
166,Ledian,Five Star Pokémon,Swarm,Early Bird,Iron Fist,2,55,35,50,55,110,85,390,35.6,1.4,0.5,0,90,15,800000,70,0,0,0,0,2,2,Ledyba,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
167,Spinarak,String Spit Pokémon,Swarm,Insomnia,Sniper,2,40,60,40,40,40,30,250,8.5,0.5,0.5,0,255,15,800000,70,0,0,0,0,1,2,No Preevolution,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
168,Ariados,Long Leg Pokémon,Swarm,Insomnia,Sniper,2,70,90,70,60,70,40,400,33.5,1.1,0.5,0,90,15,800000,70,0,0,0,0,2,2,Spinarak,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5,0,1,0.0,0,0,0,0,0,0,0,0,1,0,0,0
169,Crobat,Bat Pokémon,Inner Focus,None,Infiltrator,2,85,90,80,70,80,130,535,75.0,1.8,0.5,0,90,15,1000000,70,0,0,0,0,3,3,Golbat,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.25,1.0,0.5,0.0,2.0,0.25,1.0,1.0,1.0,1.0,0.25,2.0,2.0,2.0,1.0,1.0,0.5,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
170,Chinchou,Angler Pokémon,Volt Absorb,Illuminate,Water Absorb,2,75,38,38,56,56,67,330,12.0,0.5,0.5,0,190,20,1250000,70,0,0,0,0,1,2,No Preevolution,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0
171,Lanturn,Light Pokémon,Volt Absorb,Illuminate,Water Absorb,2,125,58,58,76,76,67,460,22.5,1.2,0.5,0,75,20,1250000,70,0,0,0,0,2,2,Chinchou,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.5,2.0,1.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0
172,Pichu,Tiny Mouse Pokémon,Static,None,Lightning Rod,2,20,40,15,35,35,60,205,2.0,0.3,0.5,0,190,10,1000000,70,0,0,0,0,1,3,No Preevolution,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
173,Cleffa,Star Shape Pokémon,Cute Charm,Magic Guard,Friend Guard,2,50,25,28,45,55,15,218,3.0,0.3,0.25,0,150,10,800000,140,0,0,0,0,1,3,No Preevolution,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
174,Igglybuff,Balloon Pokémon,Cute Charm,Competitive,Friend Guard,2,90,30,15,40,20,15,210,1.0,0.3,0.25,0,170,10,800000,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
175,Togepi,Spike Ball Pokémon,Hustle,Serene Grace,Super Luck,2,35,20,65,40,65,20,245,1.5,0.3,0.875,0,190,10,800000,70,0,0,0,0,1,3,No Preevolution,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,0
176,Togetic,Happiness Pokémon,Hustle,Serene Grace,Super Luck,2,55,40,85,80,105,40,405,3.2,0.6,0.875,0,75,10,800000,70,0,0,0,0,2,3,Togepi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.25,1.0,2.0,0.0,2.0,0.25,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,0.0,0.5,1.0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0
177,Natu,Tiny Bird Pokémon,Synchronize,Early Bird,Magic Bounce,2,40,50,45,70,45,70,320,2.0,0.2,0.5,0,190,20,1000000,70,0,0,0,0,1,2,No Preevolution,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
178,Xatu,Mystic Pokémon,Synchronize,Early Bird,Magic Bounce,2,65,75,70,95,70,95,470,15.0,1.5,0.5,0,75,20,1000000,70,0,0,0,0,2,2,Natu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0.25,1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,0.5,2.0,1.0,2.0,1.0,0,0,0.0,0,0,0,1,0,0,0,0,1,0,0,0
179,Mareep,Wool Pokémon,Static,None,Plus,2,55,40,40,65,45,35,280,7.8,0.6,0.5,0,235,20,1059860,70,0,0,0,0,1,3,No Preevolution,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
180,Flaaffy,Wool Pokémon,Static,None,Plus,2,70,55,55,80,60,45,365,13.3,0.8,0.5,0,120,20,1059860,70,0,0,0,0,2,3,Mareep,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
181,Ampharos,Light Pokémon,Static,None,Plus,2,90,75,85,115,90,55,510,61.5,1.4,0.5,0,45,20,1059860,70,0,0,0,1,3,3,Flaaffy,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0
182,Bellossom,Flower Pokémon,Chlorophyll,None,Healer,2,75,80,95,90,100,50,490,5.8,0.4,0.5,0,45,20,1059860,70,0,0,0,0,3,3,Gloom,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0
183,Marill,Aqua Mouse Pokémon,Thick Fat,Huge Power,Sap Sipper,2,70,20,50,20,50,40,250,8.5,0.4,0.5,0,190,10,800000,70,0,0,0,0,2,3,Azurill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.0,0.5,1.0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
184,Azumarill,Aqua Rabbit Pokémon,Thick Fat,Huge Power,Sap Sipper,2,100,50,80,60,80,50,420,28.5,0.8,0.5,0,75,10,800000,70,0,0,0,0,3,3,Marill,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,2.0,2.0,1.0,0.5,0.0,0.5,1.0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0
185,Sudowoodo,Imitation Pokémon,Sturdy,Rock Head,Rattled,2,70,100,115,30,65,30,410,38.0,1.2,0.5,0,65,20,1000000,70,0,0,0,0,2,2,Bonsly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,0,0
186,Politoed,Frog Pokémon,Water Absorb,Damp,Drizzle,2,90,75,75,90,100,70,500,33.9,1.1,0.5,0,45,20,1059860,70,0,0,0,0,3,3,Poliwhirl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,0
