"DexNumber","Name","Type","Abilities","Generation","Hp","Attack","Defense","SpecialAttack","SpecialDefense","Speed","TotalStats","Weight","Height","GenderProbM","Category","CatchRate","EggCycles","EggGroup","LevelingRate","BaseFriendship"
222,"Galarian Corsola","['Ghost']","['Weak Armor', 'Cursed Body']","II",60,55,100,65,100,30,410,5.0,0.6,0.25,"Coral Pokémon","60","20",['Water 1' 'Water 3'],"Fast
","70
"
223,"Remoraid","['Water']","['Hustle', 'Sniper', 'Moody']","II",35,65,35,65,35,65,300,12.0,0.6,0.5,"Jet Pokémon","190","20",['Water 1' 'Water 2'],"Medium Fast
","70
"
224,"Octillery","['Water']","['Suction Cups', 'Sniper', 'Moody']","II",75,105,75,105,75,45,480,28.5,0.9,0.5,"Jet Pokémon","75","20",['Water 1' 'Water 2'],"Medium Fast
","70
"
225,"Delibird","['Ice', 'Flying']","['Vital Spirit', 'Hustle', 'Insomnia']","II",45,55,45,65,45,75,330,16.0,0.9,0.5,"Delivery Pokémon","45","20",['Water 1' 'Field'],"Fast
","70
"
226,"Mantine","['Water', 'Flying']","['Swift Swim', 'Water Absorb', 'Water Veil']","II",85,40,70,80,140,70,485,220.0,2.1,0.5,"Kite Pokémon","25","25",['Water 1'],"Slow
","70
"
227,"Skarmory","['Steel', 'Flying']","['Keen Eye', 'Sturdy', 'Weak Armor']","II",65,80,140,40,70,70,465,50.5,1.7,0.5,"Armor Bird Pokémon","25","25",['Flying'],"Slow
","70
"
228,"Houndour","['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']","II",45,60,30,80,50,65,330,10.8,0.6,0.5,"Dark Pokémon","120","20",['Field'],"Slow
","35
"
229,"Houndoom","['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']","II",75,90,50,110,80,95,600,35.0,1.4,0.5,"Dark Pokémon","45","20",['Field'],"Slow
","35
"
230,"Kingdra","['Water', 'Dragon']","['Swift Swim', 'Sniper', 'Damp']","II",75,95,95,95,95,85,540,152.0,1.8,0.5,"Dragon Pokémon","45","20",['Water 1' 'Dragon'],"Medium Fast
","70
"
231,"Phanpy","['Ground']","['Pickup', 'Sand Veil']","II",90,60,60,40,40,40,330,33.5,0.5,0.5,"Long Nose Pokémon","120","20",['Field'],"Medium Fast
","70
"
232,"Donphan","['Ground']","['Sturdy', 'Sand Veil']","II",90,120,120,60,60,50,500,120.0,1.1,0.5,"Armor Pokémon","60","20",['Field'],"Medium Fast
","70
"
233,"Porygon2","['Normal']","['Trace', 'Download', 'Analytic']","II",85,80,90,105,95,60,515,32.5,0.6,"","Virtual Pokémon","45","20",['Mineral'],"Medium Fast
","70
"
234,"Stantler","['Normal']","['Intimidate', 'Frisk', 'Sap Sipper']","II",73,95,62,85,65,85,465,71.2,1.4,0.5,"Big Horn Pokémon","45","20",['Field'],"Slow
","70
"
235,"Smeargle","['Normal']","['Own Tempo', 'Technician', 'Moody']","II",55,20,35,20,45,75,250,58.0,1.2,0.5,"Painter Pokémon","45","20",['Field'],"Fast
","70
"
236,"Tyrogue","['Fighting']","['Guts', 'Steadfast', 'Vital Spirit']","II",35,35,35,35,35,35,210,21.0,0.7,1.0,"Scuffle Pokémon","75","25",['No Eggs Discovered'],"Medium Fast
","70
"
237,"Hitmontop","['Fighting']","['Intimidate', 'Technician', 'Steadfast']","II",50,95,95,35,110,70,455,48.0,1.4,1.0,"Handstand Pokémon","45","25",['Human-Like'],"Medium Fast
","70
"
238,"Smoochum","['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Hydration']","II",45,30,15,85,65,65,305,6.0,0.4,0.0,"Kiss Pokémon","45","25",['No Eggs Discovered'],"Medium Fast
","70
"
239,"Elekid","['Electric']","['Static', 'Vital Spirit']","II",45,63,37,65,55,95,360,23.5,0.6,0.75,"Electric Pokémon","45","25",['No Eggs Discovered'],"Medium Fast
","70
"
240,"Magby","['Fire']","['Flame Body', 'Vital Spirit']","II",45,75,37,70,55,83,365,21.4,0.7,0.75,"Live Coal Pokémon","45","25",['No Eggs Discovered'],"Medium Fast
","70
"
241,"Miltank","['Normal']","['Thick Fat', 'Scrappy', 'Sap Sipper']","II",95,80,105,40,70,100,490,75.5,1.2,0.0,"Milk Cow Pokémon","45","20",['Field'],"Slow
","70
"
242,"Blissey","['Normal']","['Natural Cure', 'Serene Grace', 'Healer']","II",255,10,10,75,135,55,540,46.8,1.5,0.0,"Happiness Pokémon","30","40",['Fairy'],"Fast
","140
"
243,"Raikou","['Electric']","['Pressure']","II",90,85,75,115,100,115,580,178.0,1.9,"","Thunder Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
244,"Entei","['Fire']","['Pressure']","II",115,115,85,90,75,100,580,198.0,2.1,"","Volcano Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
245,"Suicune","['Water']","['Pressure']","II",100,75,115,90,115,85,580,187.0,2.0,"","Aurora Pokémon","3","80",['No Eggs Discovered'],"Slow
","35
"
246,"Larvitar","['Rock', 'Ground']","['Guts', 'Sand Veil']","II",50,64,50,45,50,41,300,72.0,0.6,0.5,"Rock Skin Pokémon","45","40",['Monster'],"Slow
","35
"
247,"Pupitar","['Rock', 'Ground']","['Shed Skin']","II",70,84,70,65,70,51,410,152.0,1.2,0.5,"Hard Shell Pokémon","45","40",['Monster'],"Slow
","35
"
248,"Tyranitar","['Rock', 'Dark']","['Sand Stream', 'Unnerve']","II",100,134,110,95,100,61,700,202.0,2.0,0.5,"Armor Pokémon","45","40",['Monster'],"Slow
","35
"
249,"Lugia","['Psychic', 'Flying']","['Pressure', 'Multiscale']","II",106,90,130,90,154,110,680,216.0,5.2,"","Diving Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
250,"Ho-Oh","['Fire', 'Flying']","['Pressure', 'Regenerator']","II",106,130,90,110,154,90,680,199.0,3.8,"","Rainbow Pokémon","3","120",['No Eggs Discovered'],"Slow
","0
"
251,"Celebi","['Psychic', 'Grass']","['Natural Cure']","II",100,100,100,100,100,100,600,5.0,0.6,"","Time Travel Pokémon","45","120",['No Eggs Discovered'],"Medium Slow
","100
"
252,"Treecko","['Grass']","['Overgrow', 'Unburden']","III",40,45,35,65,55,70,310,5.0,0.5,0.875,"Wood Gecko Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
"
253,"Grovyle","['Grass']","['Overgrow', 'Unburden']","III",50,65,45,85,65,95,405,21.6,0.9,0.875,"Wood Gecko Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
"
254,"Sceptile","['Grass']","['Overgrow', 'Unburden']","III",70,85,65,105,85,120,630,52.2,1.7,0.875,"Forest Pokémon","45","20",['Monster' 'Dragon'],"Medium Slow
","70
"
255,"Torchic","['Fire']","['Blaze', 'Speed Boost']","III",45,60,40,70,50,45,310,2.5,0.4,0.875,"Chick Pokémon","45","20",['Field'],"Medium Slow
","70
"
256,"Combusken","['Fire', 'Fighting']","['Blaze', 'Speed Boost']","III",60,85,60,85,60,55,405,19.5,0.9,0.875,"Young Fowl Pokémon","45","20",['Field'],"Medium Slow
","70
"
257,"Blaziken","['Fire', 'Fighting']","['Blaze', 'Speed Boost']","III",80,120,70,110,70,80,630,52.0,1.9,0.875,"Blaze Pokémon","45","20",['Field'],"Medium Slow
","70
"
258,"Mudkip","['Water']","['Torrent', 'Damp']","III",50,70,50,50,50,40,310,7.6,0.4,0.875,"Mud Fish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
"
259,"Marshtomp","['Water', 'Ground']","['Torrent', 'Damp']","III",70,85,70,60,70,50,405,28.0,0.7,0.875,"Mud Fish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
"
260,"Swampert","['Water', 'Ground']","['Torrent', 'Damp']","III",100,110,90,85,90,60,635,81.9,1.5,0.875,"Mud Fish Pokémon","45","20",['Monster' 'Water 1'],"Medium Slow
","70
"
261,"Poochyena","['Dark']","['Run Away', 'Quick Feet', 'Rattled']","III",35,55,35,30,30,35,220,13.6,0.5,0.5,"Bite Pokémon","255","15",['Field'],"Medium Fast
","70
"
262,"Mightyena","['Dark']","['Intimidate', 'Quick Feet', 'Moxie']","III",70,90,70,60,60,70,420,37.0,1.0,0.5,"Bite Pokémon","127","15",['Field'],"Medium Fast
","70
"
263,"Zigzagoon","['Normal']","['Quick Feet']","III",38,30,41,30,41,60,240,17.5,0.4,0.5,"Tiny Raccoon Pokémon","255","15",['Field'],"Medium Fast
","70
"
263,"Galarian Zigzagoon","['Dark', 'Normal']","['Pickup', 'Gluttony', 'Quick Feet']","III",38,30,41,30,41,60,240,17.5,0.4,0.5,"Tiny Raccoon Pokémon","255","15",['Field'],"Medium Fast
","70
"
264,"Linoone","['Normal']","['Quick Feet']","III",78,70,61,50,61,100,420,32.5,0.5,0.5,"Rushing Pokémon","90","15",['Field'],"Medium Fast
","70
"
264,"Galarian Linoone","['Dark', 'Normal']","['Pickup', 'Gluttony', 'Quick Feet']","III",78,70,61,50,61,100,420,32.5,0.5,0.5,"Rushing Pokémon","90","15",['Field'],"Medium Fast
","70
"
265,"Wurmple","['Bug']","['Shield Dust', 'Run Away']","III",45,45,35,20,30,20,195,3.6,0.3,0.5,"Worm Pokémon","255","15",['Bug'],"Medium Fast
","70
"
266,"Silcoon","['Bug']","['Shed Skin']","III",50,35,55,25,25,15,205,10.0,0.6,0.5,"Cocoon Pokémon","120","15",['Bug'],"Medium Fast
","70
"
267,"Beautifly","['Bug', 'Flying']","['Swarm', 'Rivalry']","III",60,70,50,100,50,65,395,28.4,1.0,0.5,"Butterfly Pokémon","45","15",['Bug'],"Medium Fast
","70
"
268,"Cascoon","['Bug']","['Shed Skin']","III",50,35,55,25,25,15,205,11.5,0.7,0.5,"Cocoon Pokémon","120","15",['Bug'],"Medium Fast
","70
"
269,"Dustox","['Bug', 'Poison']","['Shield Dust', 'Compound Eyes']","III",60,50,70,50,90,65,385,31.6,1.2,0.5,"Poison Moth Pokémon","45","15",['Bug'],"Medium Fast
","70
"
270,"Lotad","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']","III",40,30,30,40,50,30,220,2.6,0.5,0.5,"Water Weed Pokémon","255","15",['Water 1' 'Grass'],"Medium Slow
","70
"
271,"Lombre","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']","III",60,50,50,60,70,50,340,32.5,1.2,0.5,"Jolly Pokémon","120","15",['Water 1' 'Grass'],"Medium Slow
","70
"
272,"Ludicolo","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']","III",80,70,70,90,100,70,480,55.0,1.5,0.5,"Carefree Pokémon","45","15",['Water 1' 'Grass'],"Medium Slow
","70
"
273,"Seedot","['Grass']","['Chlorophyll', 'Early Bird', 'Pickpocket']","III",40,40,50,30,30,30,220,4.0,0.5,0.5,"Acorn Pokémon","255","15",['Field' 'Grass'],"Medium Slow
","70
"
274,"Nuzleaf","['Grass', 'Dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']","III",70,70,40,60,40,60,340,28.0,1.0,0.5,"Wily Pokémon","120","15",['Field' 'Grass'],"Medium Slow
","70
"
275,"Shiftry","['Grass', 'Dark']","['Chlorophyll', 'Wind Rider', 'Pickpocket']","III",90,100,60,90,60,80,480,59.6,1.3,0.5,"Wicked Pokémon","45","15",['Field' 'Grass'],"Medium Slow
","70
"
276,"Taillow","['Normal', 'Flying']","['Guts', 'Scrappy']","III",40,55,30,30,30,85,270,2.3,0.3,0.5,"Tiny Swallow Pokémon","200","15",['Flying'],"Medium Slow
","70
"
277,"Swellow","['Normal', 'Flying']","['Guts', 'Scrappy']","III",60,85,60,75,50,125,455,19.8,0.7,0.5,"Swallow Pokémon","45","15",['Flying'],"Medium Slow
","70
"
278,"Wingull","['Water', 'Flying']","['Keen Eye', 'Hydration', 'Rain Dish']","III",40,30,30,55,30,85,270,9.5,0.6,0.5,"Seagull Pokémon","190","20",['Water 1' 'Flying'],"Medium Fast
","70
"
279,"Pelipper","['Water', 'Flying']","['Keen Eye', 'Drizzle', 'Rain Dish']","III",60,50,100,95,70,65,440,28.0,1.2,0.5,"Water Bird Pokémon","45","20",['Water 1' 'Flying'],"Medium Fast
","70
"
280,"Ralts","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']","III",28,25,25,45,35,40,198,6.6,0.4,0.5,"Feeling Pokémon","235","20",['Human-Like' 'Amorphous'],"Slow
","35
"
281,"Kirlia","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']","III",38,35,35,65,55,50,278,20.2,0.8,0.5,"Emotion Pokémon","120","20",['Human-Like' 'Amorphous'],"Slow
","35
"
282,"Gardevoir","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']","III",68,65,65,125,115,80,618,48.4,1.6,0.5,"Embrace Pokémon","45","20",['Human-Like' 'Amorphous'],"Slow
","35
"
283,"Surskit","['Bug', 'Water']","['Swift Swim', 'Rain Dish']","III",40,30,32,50,52,65,269,1.7,0.5,0.5,"Pond Skater Pokémon","200","15",['Water 1' 'Bug'],"Medium Fast
","70
"
284,"Masquerain","['Bug', 'Flying']","['Intimidate', 'Unnerve']","III",70,60,62,100,82,80,454,3.6,0.8,0.5,"Eyeball Pokémon","75","15",['Water 1' 'Bug'],"Medium Fast
","70
"
285,"Shroomish","['Grass']","['Effect Spore', 'Poison Heal', 'Quick Feet']","III",60,40,60,40,60,35,295,4.5,0.4,0.5,"Mushroom Pokémon","255","15",['Fairy' 'Grass'],"Fluctuating
","70
"
286,"Breloom","['Grass', 'Fighting']","['Effect Spore', 'Poison Heal', 'Technician']","III",60,130,80,60,60,70,460,39.2,1.2,0.5,"Mushroom Pokémon","90","15",['Fairy' 'Grass'],"Fluctuating
","70
"
287,"Slakoth","['Normal']","['Truant']","III",60,60,60,35,35,30,280,24.0,0.8,0.5,"Slacker Pokémon","255","15",['Field'],"Slow
","70
"
288,"Vigoroth","['Normal']","['Vital Spirit']","III",80,80,80,55,55,90,440,46.5,1.4,0.5,"Wild Monkey Pokémon","120","15",['Field'],"Slow
","70
"
289,"Slaking","['Normal']","['Truant']","III",150,160,100,95,65,100,670,130.5,2.0,0.5,"Lazy Pokémon","45","15",['Field'],"Slow
","70
"
290,"Nincada","['Bug', 'Ground']","['Compound Eyes', 'Run Away']","III",31,45,90,30,30,40,266,5.5,0.5,0.5,"Trainee Pokémon","255","15",['Bug' 'Mineral' 'No Eggs Discovered'],"Erratic
","70
"
291,"Ninjask","['Bug', 'Flying']","['Speed Boost', 'Infiltrator']","III",61,90,45,50,50,160,456,12.0,0.8,0.5,"Ninja Pokémon","120","15",['Bug'],"Erratic
","70
"
292,"Shedinja","['Bug', 'Ghost']","['Wonder Guard']","III",1,90,45,30,30,40,236,1.2,0.8,"","Shed Pokémon","45","15",['Mineral' 'Bug' 'No Eggs Discovered'],"Erratic
","70
"
293,"Whismur","['Normal']","['Soundproof', 'Rattled']","III",64,51,23,51,23,28,240,16.3,0.6,0.5,"Whisper Pokémon","190","20",['Monster' 'Field'],"Medium Slow
","70
"
294,"Loudred","['Normal']","['Soundproof', 'Scrappy']","III",84,71,43,71,43,48,360,40.5,1.0,0.5,"Big Voice Pokémon","120","20",['Monster' 'Field'],"Medium Slow
","70
"
295,"Exploud","['Normal']","['Soundproof', 'Scrappy']","III",104,91,63,91,73,68,490,84.0,1.5,0.5,"Loud Noise Pokémon","45","20",['Monster' 'Field'],"Medium Slow
","70
"
296,"Makuhita","['Fighting']","['Thick Fat', 'Guts', 'Sheer Force']","III",72,60,30,20,30,25,237,86.4,1.0,0.75,"Guts Pokémon","180","20",['Human-Like'],"Fluctuating
","70
"
297,"Hariyama","['Fighting']","['Thick Fat', 'Guts', 'Sheer Force']","III",144,120,60,40,60,50,474,253.8,2.3,0.75,"Arm Thrust Pokémon","200","20",['Human-Like'],"Fluctuating
","70
"
298,"Azurill","['Normal', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']","III",50,20,40,20,40,20,190,2.0,0.2,0.25,"Polka Dot Pokémon","150","10",['No Eggs Discovered'],"Fast
","70
"
299,"Nosepass","['Rock']","['Sturdy', 'Magnet Pull', 'Sand Force']","III",30,45,135,45,90,30,375,97.0,1.0,0.5,"Compass Pokémon","255","20",['Mineral'],"Medium Fast
","70
"
300,"Skitty","['Normal']","['Cute Charm', 'Normalize', 'Wonder Skin']","III",50,45,45,35,35,50,260,11.0,0.6,0.25,"Kitten Pokémon","255","15",['Field' 'Fairy'],"Fast
","70
"
301,"Delcatty","['Normal']","['Cute Charm', 'Normalize', 'Wonder Skin']","III",70,65,65,55,55,90,400,32.6,1.1,0.25,"Prim Pokémon","60","15",['Field' 'Fairy'],"Fast
","70
"
302,"Sableye","['Dark', 'Ghost']","['Keen Eye', 'Stall', 'Prankster']","III",50,85,125,85,115,20,480,11.0,0.5,0.5,"Darkness Pokémon","45","25",['Human-Like'],"Medium Slow
","35
"
303,"Mawile","['Steel', 'Fairy']","['Hyper Cutter', 'Intimidate', 'Sheer Force']","III",50,85,85,55,55,50,480,11.5,0.6,0.5,"Deceiver Pokémon","45","20",['Field' 'Fairy'],"Fast
","70
"
304,"Aron","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']","III",50,70,100,40,40,30,330,60.0,0.4,0.5,"Iron Armor Pokémon","180","35",['Monster'],"Slow
","35
"
305,"Lairon","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']","III",60,90,140,50,50,40,430,120.0,0.9,0.5,"Iron Armor Pokémon","90","35",['Monster'],"Slow
","35
"
306,"Aggron","['Steel', 'Rock']","['Sturdy', 'Rock Head', 'Heavy Metal']","III",70,110,180,60,60,50,630,360.0,2.1,0.5,"Iron Armor Pokémon","45","35",['Monster'],"Slow
","35
"
307,"Meditite","['Fighting', 'Psychic']","['Pure Power', 'Telepathy']","III",30,40,55,40,55,60,280,11.2,0.6,0.5,"Meditate Pokémon","180","20",['Human-Like'],"Medium Fast
","70
"
308,"Medicham","['Fighting', 'Psychic']","['Pure Power', 'Telepathy']","III",60,60,75,60,75,80,510,31.5,1.3,0.5,"Meditate Pokémon","90","20",['Human-Like'],"Medium Fast
","70
"
309,"Electrike","['Electric']","['Static', 'Lightning Rod', 'Minus']","III",40,45,40,65,40,65,295,15.2,0.6,0.5,"Lightning Pokémon","120","20",['Field'],"Slow
","70
"
310,"Manectric","['Electric']","['Static', 'Lightning Rod', 'Minus']","III",70,75,60,105,60,105,575,40.2,1.5,0.5,"Discharge Pokémon","45","20",['Field'],"Slow
","70
"
311,"Plusle","['Electric']","['Plus']","III",60,50,40,85,75,95,405,4.2,0.4,0.5,"Cheering Pokémon","200","20",['Fairy'],"Medium Fast
","70
"
312,"Minun","['Electric']","['Minus']","III",60,40,50,75,85,95,405,4.2,0.4,0.5,"Cheering Pokémon","200","20",['Fairy'],"Medium Fast
","70
"
313,"Volbeat","['Bug']","['Illuminate', 'Swarm', 'Prankster']","III",65,73,75,47,85,85,430,17.7,0.7,1.0,"Firefly Pokémon","150","15",['Bug' 'Human-Like'],"Erratic
","70
"
314,"Illumise","['Bug']","['Oblivious', 'Tinted Lens', 'Prankster']","III",65,47,75,73,85,85,430,17.7,0.6,0.0,"Firefly Pokémon","150","15",['Bug' 'Human-Like'],"Fluctuating
","70
"
315,"Roselia","['Grass', 'Poison']","['Natural Cure', 'Poison Point', 'Leaf Guard']","III",50,60,45,100,80,65,400,2.0,0.3,0.5,"Thorn Pokémon","150","20",['Fairy' 'Grass'],"Medium Slow
","70
"
316,"Gulpin","['Poison']","['Liquid Ooze', 'Sticky Hold', 'Gluttony']","III",70,43,53,43,53,40,302,10.3,0.4,0.5,"Stomach Pokémon","225","20",['Amorphous'],"Fluctuating
","70
"
317,"Swalot","['Poison']","['Liquid Ooze', 'Sticky Hold', 'Gluttony']","III",100,73,83,73,83,55,467,80.0,1.7,0.5,"Poison Bag Pokémon","75","20",['Amorphous'],"Fluctuating
","70
"
318,"Carvanha","['Water', 'Dark']","['Rough Skin', 'Speed Boost']","III",45,90,20,65,20,65,305,20.8,0.8,0.5,"Savage Pokémon","225","20",['Water 2'],"Slow
","35
"
319,"Sharpedo","['Water', 'Dark']","['Rough Skin', 'Speed Boost']","III",70,120,40,95,40,95,560,88.8,1.8,0.5,"Brutal Pokémon","60","20",['Water 2'],"Slow
","35
"
320,"Wailmer","['Water']","['Water Veil', 'Oblivious', 'Pressure']","III",130,70,35,70,35,60,400,130.0,2.0,0.5,"Ball Whale Pokémon","125","40",['Field' 'Water 2'],"Fluctuating
","70
"
321,"Wailord","['Water']","['Water Veil', 'Oblivious', 'Pressure']","III",170,90,45,90,45,60,500,398.0,14.5,0.5,"Float Whale Pokémon","60","40",['Field' 'Water 2'],"Fluctuating
","70
"
322,"Numel","['Fire', 'Ground']","['Oblivious', 'Simple', 'Own Tempo']","III",60,60,40,65,45,35,305,24.0,0.7,0.5,"Numb Pokémon","255","20",['Field'],"Medium Fast
","70
"
323,"Camerupt","['Fire', 'Ground']","['Magma Armor', 'Solid Rock', 'Anger Point']","III",70,100,70,105,75,40,560,220.0,1.9,0.5,"Eruption Pokémon","150","20",['Field'],"Medium Fast
","70
"
324,"Torkoal","['Fire']","['White Smoke', 'Drought', 'Shell Armor']","III",70,85,140,85,70,20,470,80.4,0.5,0.5,"Coal Pokémon","90","20",['Field'],"Medium Fast
","70
"
325,"Spoink","['Psychic']","['Thick Fat', 'Own Tempo', 'Gluttony']","III",60,25,35,70,80,60,330,30.6,0.7,0.5,"Bounce Pokémon","255","20",['Field'],"Fast
","70
"
326,"Grumpig","['Psychic']","['Thick Fat', 'Own Tempo', 'Gluttony']","III",80,45,65,90,110,80,470,71.5,0.9,0.5,"Manipulate Pokémon","60","20",['Field'],"Fast
","70
"
327,"Spinda","['Normal']","['Own Tempo', 'Tangled Feet', 'Contrary']","III",60,60,60,60,60,60,360,5.0,1.1,0.5,"Spot Panda Pokémon","255","15",['Field' 'Human-Like'],"Fast
","70
"
328,"Trapinch","['Ground']","['Hyper Cutter', 'Arena Trap', 'Sheer Force']","III",45,100,45,45,45,10,290,15.0,0.7,0.5,"Ant Pit Pokémon","255","20",['Bug' 'Dragon'],"Medium Slow
","70
"
329,"Vibrava","['Ground', 'Dragon']","['Levitate']","III",50,70,50,50,50,70,340,15.3,1.1,0.5,"Vibration Pokémon","120","20",['Bug' 'Dragon'],"Medium Slow
","70
"
330,"Flygon","['Ground', 'Dragon']","['Levitate']","III",80,100,80,80,80,100,520,82.0,2.0,0.5,"Mystic Pokémon","45","20",['Bug' 'Dragon'],"Medium Slow
","70
"
331,"Cacnea","['Grass']","['Sand Veil', 'Water Absorb']","III",50,85,40,85,40,35,335,51.3,0.4,0.5,"Cactus Pokémon","190","20",['Grass' 'Human-Like'],"Medium Slow
","35
"
332,"Cacturne","['Grass', 'Dark']","['Sand Veil', 'Water Absorb']","III",70,115,60,115,60,55,475,77.4,1.3,0.5,"Scarecrow Pokémon","60","20",['Grass' 'Human-Like'],"Medium Slow
","35
"
333,"Swablu","['Normal', 'Flying']","['Natural Cure', 'Cloud Nine']","III",45,40,60,40,75,50,310,1.2,0.4,0.5,"Cotton Bird Pokémon","255","20",['Flying' 'Dragon'],"Erratic
","70
"
334,"Altaria","['Dragon', 'Flying']","['Natural Cure', 'Cloud Nine']","III",75,70,90,70,105,80,590,20.6,1.1,0.5,"Humming Pokémon","45","20",['Flying' 'Dragon'],"Erratic
","70
"
335,"Zangoose","['Normal']","['Immunity', 'Toxic Boost']","III",73,115,60,60,60,90,458,40.3,1.3,0.5,"Cat Ferret Pokémon","90","20",['Field'],"Erratic
","70
"
336,"Seviper","['Poison']","['Shed Skin', 'Infiltrator']","III",73,100,60,100,60,65,458,52.5,2.7,0.5,"Fang Snake Pokémon","90","20",['Field' 'Dragon'],"Fluctuating
","70
"
337,"Lunatone","['Rock', 'Psychic']","['Levitate']","III",90,55,65,95,85,70,460,168.0,1.0,"","Meteorite Pokémon","45","25",['Mineral'],"Fast
","70
"
338,"Solrock","['Rock', 'Psychic']","['Levitate']","III",90,95,85,55,65,70,460,154.0,1.2,"","Meteorite Pokémon","45","25",['Mineral'],"Fast
","70
"
339,"Barboach","['Water', 'Ground']","['Oblivious', 'Anticipation', 'Hydration']","III",50,48,43,46,41,60,288,1.9,0.4,0.5,"Whiskers Pokémon","190","20",['Water 2' 'Water 1'],"Medium Fast
","70
"
340,"Whiscash","['Water', 'Ground']","['Oblivious', 'Anticipation', 'Hydration']","III",110,78,73,76,71,60,468,23.6,0.9,0.5,"Whiskers Pokémon","75","20",['Water 2' 'Water 1'],"Medium Fast
","70
"
341,"Corphish","['Water']","['Hyper Cutter', 'Shell Armor', 'Adaptability']","III",43,80,65,50,35,35,308,11.5,0.6,0.5,"Ruffian Pokémon","205","15",['Water 1' 'Water 3'],"Fluctuating
","70
"
342,"Crawdaunt","['Water', 'Dark']","['Hyper Cutter', 'Shell Armor', 'Adaptability']","III",63,120,85,90,55,55,468,32.8,1.1,0.5,"Rogue Pokémon","155","15",['Water 1' 'Water 3'],"Fluctuating
","70
"
343,"Baltoy","['Ground', 'Psychic']","['Levitate']","III",40,40,55,40,70,55,300,21.5,0.5,"","Clay Doll Pokémon","255","20",['Mineral'],"Medium Fast
","70
"
344,"Claydol","['Ground', 'Psychic']","['Levitate']","III",60,70,105,70,120,75,500,108.0,1.5,"","Clay Doll Pokémon","90","20",['Mineral'],"Medium Fast
","70
"
345,"Lileep","['Rock', 'Grass']","['Suction Cups', 'Storm Drain']","III",66,41,77,61,87,23,355,23.8,1.0,0.875,"Sea Lily Pokémon","45","30",['Water 3'],"Erratic
","70
"
346,"Cradily","['Rock', 'Grass']","['Suction Cups', 'Storm Drain']","III",86,81,97,81,107,43,495,60.4,1.5,0.875,"Barnacle Pokémon","45","30",['Water 3'],"Erratic
","70
"
347,"Anorith","['Rock', 'Bug']","['Battle Armor', 'Swift Swim']","III",45,95,50,40,50,75,355,12.5,0.7,0.875,"Old Shrimp Pokémon","45","30",['Water 3'],"Erratic
","70
"
348,"Armaldo","['Rock', 'Bug']","['Battle Armor', 'Swift Swim']","III",75,125,100,70,80,45,495,68.2,1.5,0.875,"Plate Pokémon","45","30",['Water 3'],"Erratic
","70
"
349,"Feebas","['Water']","['Swift Swim', 'Oblivious', 'Adaptability']","III",20,15,20,10,55,80,200,7.4,0.6,0.5,"Fish Pokémon","255","20",['Water 1' 'Dragon'],"Erratic
","70
"
350,"Milotic","['Water']","['Marvel Scale', 'Competitive', 'Cute Charm']","III",95,60,79,100,125,81,540,162.0,6.2,0.5,"Tender Pokémon","60","20",['Water 1' 'Dragon'],"Erratic
","70
"
351,"Castform Normal","['Normal']","['Forecast']","III",70,70,70,70,70,70,420,0.8,0.3,0.5,"Weather Pokémon","45","25",['Fairy' 'Amorphous'],"Medium Fast
","70
"
351,"Castform Sunny Form","['Fire']","['Forecast']","III",70,70,70,70,70,70,420,0.8,0.3,0.5,"Weather Pokémon","45","25",['Fairy' 'Amorphous'],"Medium Fast
","70
"
351,"Castform Rainy Form","['Water']","['Forecast']","III",70,70,70,70,70,70,420,0.8,0.3,0.5,"Weather Pokémon","45","25",['Fairy' 'Amorphous'],"Medium Fast
","70
"
351,"Castform Snowy Form","['Ice']","['Forecast']","III",70,70,70,70,70,70,420,0.8,0.3,0.5,"Weather Pokémon","45","25",['Fairy' 'Amorphous'],"Medium Fast
","70
"
352,"Kecleon","['Normal']","['Color Change']","III",60,90,70,60,120,40,440,22.0,1.0,0.5,"Color Swap Pokémon","200","20",['Field'],"Medium Slow
","70
"
