DexNumber,Name,Type1,Type2,Ability1,Ability2,HiddenAbility,Generation,Hp,Attack,Defense,SpecialAttack,SpecialDefense,Speed,TotalStats,Weight,Height,GenderProbM,NoGender,Category,CatchRate,EggCycles,EggGroup1,EggGroup2,LevelingRate,BaseFriendship,IsLegendary,IsMythical,IsUltraBeast,HasMega,EvoStage,TotalEvoStages,PreevoName,DamageFromNormal,DamageFromFighting,DamageFromFlying,DamageFromPoison,DamageFromGround,DamageFromRock,DamageFromBug,DamageFromGhost,DamageFromSteel,DamageFromFire,DamageFromWater,DamageFromGrass,DamageFromElectric,DamageFromPsychic,DamageFromIce,DamageFromDragon,DamageFromDark,DamageFromFairy
257,Blaziken,Fire,Fighting,Blaze,Speed Boost,None,3,80,120,70,110,70,80,630,52.0,1.9,0.875,0,Blaze Pokémon,45,20,Field,No Egg Group,Medium Slow,70,0,0,0,1,3,3,Combusken,1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,0.5,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.5,1.0
258,Mudkip,Water,Water,Torrent,Damp,None,3,50,70,50,50,50,40,310,7.6,0.4,0.875,0,Mud Fish Pokémon,45,20,Monster,Water 1,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
259,Marshtomp,Water,Ground,Torrent,Damp,None,3,70,85,70,60,70,50,405,28.0,0.7,0.875,0,Mud Fish Pokémon,45,20,Monster,Water 1,Medium Slow,70,0,0,0,0,2,3,Mudkip,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
260,Swampert,Water,Ground,Torrent,Damp,None,3,100,110,90,85,90,60,635,81.9,1.5,0.875,0,Mud Fish Pokémon,45,20,Monster,Water 1,Medium Slow,70,0,0,0,1,3,3,Marshtomp,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,0.5,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
261,Poochyena,Dark,Dark,Run Away,Quick Feet,Rattled,3,35,55,35,30,30,35,220,13.6,0.5,0.5,0,Bite Pokémon,255,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
262,Mightyena,Dark,Dark,Intimidate,Quick Feet,Moxie,3,70,90,70,60,60,70,420,37.0,1.0,0.5,0,Bite Pokémon,127,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Poochyena,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
263,Zigzagoon,Normal,Normal,Quick Feet,None,None,3,38,30,41,30,41,60,240,17.5,0.4,0.5,0,Tiny Raccoon Pokémon,255,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
263,Galarian Zigzagoon,Dark,Normal,Pickup,Gluttony,Quick Feet,8,38,30,41,30,41,60,240,17.5,0.4,0.5,0,Tiny Raccoon Pokémon,255,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
264,Linoone,Normal,Normal,Quick Feet,None,None,3,78,70,61,50,61,100,420,32.5,0.5,0.5,0,Rushing Pokémon,90,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,2,Zigzagoon,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
264,Galarian Linoone,Dark,Normal,Pickup,Gluttony,Quick Feet,8,78,70,61,50,61,100,420,32.5,0.5,0.5,0,Rushing Pokémon,90,15,Field,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Galarian Zigzagoon,1.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0
265,Wurmple,Bug,Bug,Shield Dust,Run Away,None,3,45,45,35,20,30,20,195,3.6,0.3,0.5,0,Worm Pokémon,255,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,1,3,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
266,Silcoon,Bug,Bug,Shed Skin,None,None,3,50,35,55,25,25,15,205,10.0,0.6,0.5,0,Cocoon Pokémon,120,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Wurmple,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
267,Beautifly,Bug,Flying,Swarm,Rivalry,None,3,60,70,50,100,50,65,395,28.4,1.0,0.5,0,Butterfly Pokémon,45,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,3,3,Silcoon,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
268,Cascoon,Bug,Bug,Shed Skin,None,None,3,50,35,55,25,25,15,205,11.5,0.7,0.5,0,Cocoon Pokémon,120,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,2,3,Wurmple,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
269,Dustox,Bug,Poison,Shield Dust,Compound Eyes,None,3,60,50,70,50,90,65,385,31.6,1.2,0.5,0,Poison Moth Pokémon,45,15,Bug,No Egg Group,Medium Fast,70,0,0,0,0,3,3,Cascoon,1.0,0.25,2.0,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,1.0,0.5
270,Lotad,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,40,30,30,40,50,30,220,2.6,0.5,0.5,0,Water Weed Pokémon,255,15,Water 1,Grass,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
271,Lombre,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,60,50,50,60,70,50,340,32.5,1.2,0.5,0,Jolly Pokémon,120,15,Water 1,Grass,Medium Slow,70,0,0,0,0,2,3,Lotad,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,Ludicolo,Water,Grass,Swift Swim,Rain Dish,Own Tempo,3,80,70,70,90,100,70,480,55.0,1.5,0.5,0,Carefree Pokémon,45,15,Water 1,Grass,Medium Slow,70,0,0,0,0,3,3,Lombre,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,0.5,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273,Seedot,Grass,Grass,Chlorophyll,Early Bird,Pickpocket,3,40,40,50,30,30,30,220,4.0,0.5,0.5,0,Acorn Pokémon,255,15,Field,Grass,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
274,Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,3,70,70,40,60,40,60,340,28.0,1.0,0.5,0,Wily Pokémon,120,15,Field,Grass,Medium Slow,70,0,0,0,0,2,3,Seedot,1.0,2.0,2.0,2.0,0.5,1.0,4.0,0.5,1.0,2.0,0.5,0.5,0.5,0.0,2.0,1.0,0.5,2.0
275,Shiftry,Grass,Dark,Chlorophyll,Wind Rider,Pickpocket,3,90,100,60,90,60,80,480,59.6,1.3,0.5,0,Wicked Pokémon,45,15,Field,Grass,Medium Slow,70,0,0,0,0,3,3,Nuzleaf,1.0,2.0,2.0,2.0,0.5,1.0,4.0,0.5,1.0,2.0,0.5,0.5,0.5,0.0,2.0,1.0,0.5,2.0
276,Taillow,Normal,Flying,Guts,Scrappy,None,3,40,55,30,30,30,85,270,2.3,0.3,0.5,0,Tiny Swallow Pokémon,200,15,Flying,No Egg Group,Medium Slow,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
277,Swellow,Normal,Flying,Guts,Scrappy,None,3,60,85,60,75,50,125,455,19.8,0.7,0.5,0,Swallow Pokémon,45,15,Flying,No Egg Group,Medium Slow,70,0,0,0,0,2,2,Taillow,1.0,1.0,1.0,1.0,0.0,2.0,0.5,0.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0
278,Wingull,Water,Flying,Keen Eye,Hydration,Rain Dish,3,40,30,30,55,30,85,270,9.5,0.6,0.5,0,Seagull Pokémon,190,20,Water 1,Flying,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0
279,Pelipper,Water,Flying,Keen Eye,Drizzle,Rain Dish,3,60,50,100,95,70,65,440,28.0,1.2,0.5,0,Water Bird Pokémon,45,20,Water 1,Flying,Medium Fast,70,0,0,0,0,2,2,Wingull,1.0,0.5,1.0,1.0,0.0,2.0,0.5,1.0,0.5,0.5,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0
280,Ralts,Psychic,Fairy,Synchronize,Trace,Telepathy,3,28,25,25,45,35,40,198,6.6,0.4,0.5,0,Feeling Pokémon,235,20,Human-Like,Amorphous,Slow,35,0,0,0,0,1,3,No Preevolution,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
281,Kirlia,Psychic,Fairy,Synchronize,Trace,Telepathy,3,38,35,35,65,55,50,278,20.2,0.8,0.5,0,Emotion Pokémon,120,20,Human-Like,Amorphous,Slow,35,0,0,0,0,2,3,Ralts,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
282,Gardevoir,Psychic,Fairy,Synchronize,Trace,Telepathy,3,68,65,65,125,115,80,618,48.4,1.6,0.5,0,Embrace Pokémon,45,20,Human-Like,Amorphous,Slow,35,0,0,0,1,3,3,Kirlia,1.0,0.25,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
283,Surskit,Bug,Water,Swift Swim,Rain Dish,None,3,40,30,32,50,52,65,269,1.7,0.5,0.5,0,Pond Skater Pokémon,200,15,Water 1,Bug,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0
284,Masquerain,Bug,Flying,Intimidate,Unnerve,None,3,70,60,62,100,82,80,454,3.6,0.8,0.5,0,Eyeball Pokémon,75,15,Water 1,Bug,Medium Fast,70,0,0,0,0,2,2,Surskit,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
285,Shroomish,Grass,Grass,Effect Spore,Poison Heal,Quick Feet,3,60,40,60,40,60,35,295,4.5,0.4,0.5,0,Mushroom Pokémon,255,15,Fairy,Grass,Fluctuating,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,1.0
286,Breloom,Grass,Fighting,Effect Spore,Poison Heal,Technician,3,60,130,80,60,60,70,460,39.2,1.2,0.5,0,Mushroom Pokémon,90,15,Fairy,Grass,Fluctuating,70,0,0,0,0,2,2,Shroomish,1.0,1.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,2.0
287,Slakoth,Normal,Normal,Truant,None,None,3,60,60,60,35,35,30,280,24.0,0.8,0.5,0,Slacker Pokémon,255,15,Field,No Egg Group,Slow,70,0,0,0,0,1,3,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
288,Vigoroth,Normal,Normal,Vital Spirit,None,None,3,80,80,80,55,55,90,440,46.5,1.4,0.5,0,Wild Monkey Pokémon,120,15,Field,No Egg Group,Slow,70,0,0,0,0,2,3,Slakoth,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
289,Slaking,Normal,Normal,Truant,None,None,3,150,160,100,95,65,100,670,130.5,2.0,0.5,0,Lazy Pokémon,45,15,Field,No Egg Group,Slow,70,0,0,0,0,3,3,Vigoroth,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
290,Nincada,Bug,Ground,Compound Eyes,Run Away,None,3,31,45,90,30,30,40,266,5.5,0.5,0.5,0,Trainee Pokémon,255,15,Bug,Mineral,Erratic,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
291,Ninjask,Bug,Flying,Speed Boost,Infiltrator,None,3,61,90,45,50,50,160,456,12.0,0.8,0.5,0,Ninja Pokémon,120,15,Bug,No Egg Group,Erratic,70,0,0,0,0,2,2,Nincada,1.0,0.25,2.0,1.0,0.0,4.0,0.5,1.0,1.0,2.0,1.0,0.25,2.0,1.0,2.0,1.0,1.0,1.0
292,Shedinja,Bug,Ghost,Wonder Guard,None,None,3,1,90,45,30,30,40,236,1.2,0.8,0.5,1,Shed Pokémon,45,15,Mineral,Bug,Erratic,70,0,0,0,0,3,2,Ninjask,0.0,0.0,2.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0
293,Whismur,Normal,Normal,Soundproof,Rattled,None,3,64,51,23,51,23,28,240,16.3,0.6,0.5,0,Whisper Pokémon,190,20,Monster,Field,Medium Slow,70,0,0,0,0,1,3,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,Loudred,Normal,Normal,Soundproof,Scrappy,None,3,84,71,43,71,43,48,360,40.5,1.0,0.5,0,Big Voice Pokémon,120,20,Monster,Field,Medium Slow,70,0,0,0,0,2,3,Whismur,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,Exploud,Normal,Normal,Soundproof,Scrappy,None,3,104,91,63,91,73,68,490,84.0,1.5,0.5,0,Loud Noise Pokémon,45,20,Monster,Field,Medium Slow,70,0,0,0,0,3,3,Loudred,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
296,Makuhita,Fighting,Fighting,Thick Fat,Guts,Sheer Force,3,72,60,30,20,30,25,237,86.4,1.0,0.75,0,Guts Pokémon,180,20,Human-Like,No Egg Group,Fluctuating,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
297,Hariyama,Fighting,Fighting,Thick Fat,Guts,Sheer Force,3,144,120,60,40,60,50,474,253.8,2.3,0.75,0,Arm Thrust Pokémon,200,20,Human-Like,No Egg Group,Fluctuating,70,0,0,0,0,2,2,Makuhita,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0
298,Azurill,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,3,50,20,40,20,40,20,190,2.0,0.2,0.25,0,Polka Dot Pokémon,150,10,No Eggs Discovered,No Egg Group,Fast,70,0,0,0,0,1,3,No Preevolution,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0
299,Nosepass,Rock,Rock,Sturdy,Magnet Pull,Sand Force,3,30,45,135,45,90,30,375,97.0,1.0,0.5,0,Compass Pokémon,255,20,Mineral,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,0.5,2.0,0.5,0.5,2.0,1.0,1.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
300,Skitty,Normal,Normal,Cute Charm,Normalize,Wonder Skin,3,50,45,45,35,35,50,260,11.0,0.6,0.25,0,Kitten Pokémon,255,15,Field,Fairy,Fast,70,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
301,Delcatty,Normal,Normal,Cute Charm,Normalize,Wonder Skin,3,70,65,65,55,55,90,400,32.6,1.1,0.25,0,Prim Pokémon,60,15,Field,Fairy,Fast,70,0,0,0,0,2,2,Skitty,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,Sableye,Dark,Ghost,Keen Eye,Stall,Prankster,3,50,85,125,85,115,20,480,11.0,0.5,0.5,0,Darkness Pokémon,45,25,Human-Like,No Egg Group,Medium Slow,35,0,0,0,1,1,1,No Preevolution,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
303,Mawile,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,3,50,85,85,55,55,50,480,11.5,0.6,0.5,0,Deceiver Pokémon,45,20,Field,Fairy,Fast,70,0,0,0,1,1,1,No Preevolution,0.5,1.0,0.5,0.0,2.0,0.5,0.25,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5
304,Aron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,50,70,100,40,40,30,330,60.0,0.4,0.5,0,Iron Armor Pokémon,180,35,Monster,No Egg Group,Slow,35,0,0,0,0,1,3,No Preevolution,0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
305,Lairon,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,60,90,140,50,50,40,430,120.0,0.9,0.5,0,Iron Armor Pokémon,90,35,Monster,No Egg Group,Slow,35,0,0,0,0,2,3,Aron,0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
306,Aggron,Steel,Rock,Sturdy,Rock Head,Heavy Metal,3,70,110,180,60,60,50,630,360.0,2.1,0.5,0,Iron Armor Pokémon,45,35,Monster,No Egg Group,Slow,35,0,0,0,1,3,3,Lairon,0.25,4.0,0.25,0.0,4.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5
307,Meditite,Fighting,Psychic,Pure Power,Telepathy,None,3,30,40,55,40,55,60,280,11.2,0.6,0.5,0,Meditate Pokémon,180,20,Human-Like,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
308,Medicham,Fighting,Psychic,Pure Power,Telepathy,None,3,60,60,75,60,75,80,510,31.5,1.3,0.5,0,Meditate Pokémon,90,20,Human-Like,No Egg Group,Medium Fast,70,0,0,0,1,2,2,Meditite,1.0,0.5,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
309,Electrike,Electric,Electric,Static,Lightning Rod,Minus,3,40,45,40,65,40,65,295,15.2,0.6,0.5,0,Lightning Pokémon,120,20,Field,No Egg Group,Slow,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
310,Manectric,Electric,Electric,Static,Lightning Rod,Minus,3,70,75,60,105,60,105,575,40.2,1.5,0.5,0,Discharge Pokémon,45,20,Field,No Egg Group,Slow,70,0,0,0,1,2,2,Electrike,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
311,Plusle,Electric,Electric,Plus,None,None,3,60,50,40,85,75,95,405,4.2,0.4,0.5,0,Cheering Pokémon,200,20,Fairy,No Egg Group,Medium Fast,70,0,0,0,0,1,1,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
312,Minun,Electric,Electric,Minus,None,None,3,60,40,50,75,85,95,405,4.2,0.4,0.5,0,Cheering Pokémon,200,20,Fairy,No Egg Group,Medium Fast,70,0,0,0,0,1,1,No Preevolution,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
313,Volbeat,Bug,Bug,Illuminate,Swarm,Prankster,3,65,73,75,47,85,85,430,17.7,0.7,1.0,0,Firefly Pokémon,150,15,Bug,Human-Like,Erratic,70,0,0,0,0,1,1,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
314,Illumise,Bug,Bug,Oblivious,Tinted Lens,Prankster,3,65,47,75,73,85,85,430,17.7,0.6,0.0,0,Firefly Pokémon,150,15,Bug,Human-Like,Fluctuating,70,0,0,0,0,1,1,No Preevolution,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
315,Roselia,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,3,50,60,45,100,80,65,400,2.0,0.3,0.5,0,Thorn Pokémon,150,20,Fairy,Grass,Medium Slow,70,0,0,0,0,2,3,Budew,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5
316,Gulpin,Poison,Poison,Liquid Ooze,Sticky Hold,Gluttony,3,70,43,53,43,53,40,302,10.3,0.4,0.5,0,Stomach Pokémon,225,20,Amorphous,No Egg Group,Fluctuating,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
317,Swalot,Poison,Poison,Liquid Ooze,Sticky Hold,Gluttony,3,100,73,83,73,83,55,467,80.0,1.7,0.5,0,Poison Bag Pokémon,75,20,Amorphous,No Egg Group,Fluctuating,70,0,0,0,0,2,2,Gulpin,1.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5
318,Carvanha,Water,Dark,Rough Skin,Speed Boost,None,3,45,90,20,65,20,65,305,20.8,0.8,0.5,0,Savage Pokémon,225,20,Water 2,No Egg Group,Slow,35,0,0,0,0,1,2,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,2.0,0.0,0.5,1.0,0.5,2.0
319,Sharpedo,Water,Dark,Rough Skin,Speed Boost,None,3,70,120,40,95,40,95,560,88.8,1.8,0.5,0,Brutal Pokémon,60,20,Water 2,No Egg Group,Slow,35,0,0,0,1,2,2,Carvanha,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,2.0,2.0,0.0,0.5,1.0,0.5,2.0
320,Wailmer,Water,Water,Water Veil,Oblivious,Pressure,3,130,70,35,70,35,60,400,130.0,2.0,0.5,0,Ball Whale Pokémon,125,40,Field,Water 2,Fluctuating,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
321,Wailord,Water,Water,Water Veil,Oblivious,Pressure,3,170,90,45,90,45,60,500,398.0,14.5,0.5,0,Float Whale Pokémon,60,40,Field,Water 2,Fluctuating,70,0,0,0,0,2,2,Wailmer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0
322,Numel,Fire,Ground,Oblivious,Simple,Own Tempo,3,60,60,40,65,45,35,305,24.0,0.7,0.5,0,Numb Pokémon,255,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,2,No Preevolution,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
323,Camerupt,Fire,Ground,Magma Armor,Solid Rock,Anger Point,3,70,100,70,105,75,40,560,220.0,1.9,0.5,0,Eruption Pokémon,150,20,Field,No Egg Group,Medium Fast,70,0,0,0,1,2,2,Numel,1.0,1.0,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.5,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
324,Torkoal,Fire,Fire,White Smoke,Drought,Shell Armor,3,70,85,140,85,70,20,470,80.4,0.5,0.5,0,Coal Pokémon,90,20,Field,No Egg Group,Medium Fast,70,0,0,0,0,1,1,No Preevolution,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5
325,Spoink,Psychic,Psychic,Thick Fat,Own Tempo,Gluttony,3,60,25,35,70,80,60,330,30.6,0.7,0.5,0,Bounce Pokémon,255,20,Field,No Egg Group,Fast,70,0,0,0,0,1,2,No Preevolution,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
326,Grumpig,Psychic,Psychic,Thick Fat,Own Tempo,Gluttony,3,80,45,65,90,110,80,470,71.5,0.9,0.5,0,Manipulate Pokémon,60,20,Field,No Egg Group,Fast,70,0,0,0,0,2,2,Spoink,1.0,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0
327,Spinda,Normal,Normal,Own Tempo,Tangled Feet,Contrary,3,60,60,60,60,60,60,360,5.0,1.1,0.5,0,Spot Panda Pokémon,255,15,Field,Human-Like,Fast,70,0,0,0,0,1,1,No Preevolution,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
